name,time,speech
Chris Wallace,2020-09-30 01:01:20,"Good evening from the Health Education Campus of Case Western Reserve University and the Cleveland Clinic. I’m Chris Wallace of Fox News and I welcome you to the first of the 2020 Presidential Debates between President Donald J. Trump and former Vice President Joe Biden. This debate is sponsored by the Commission on Presidential debates. The Commission has designed the format, six roughly 15 minute segments with two minute answers from each candidate to the first question, then open discussion for the rest of each segment. Both campaigns have agreed to these rules. For the record, I decided the topics and the questions in each topic. I can assure you none of the questions has been shared with the Commission or the two candidates."
Chris Wallace,2020-09-30 01:02:10,"This debate is being conducted under health and safety protocols designed by the Cleveland Clinic, which is serving as the Health Security advisor to the Commission for all four debates. As a precaution, both campaigns have agreed the candidates will not shake hands at the beginning of tonight’s debate. The audience here in the hall has promised to remain silent. No cheers, no boos, or other interruptions so we, and more importantly you, can focus on what the candidates have to say. No noise except right now, as we welcome the Republican nominee, President Trump, and the Democratic nominee Vice President Biden."
Vice President Joe Biden,2020-09-30 01:02:49,"How you doing, man?"
President Donald J. Trump,2020-09-30 01:02:51,How are you doing?
Vice President Joe Biden,2020-09-30 01:02:51,I’m well.
Chris Wallace,2020-09-30 01:03:11,"Gentlemen, a lot of people been waiting for this night, so let’s get going. Our first subject is the Supreme Court. President Trump, you nominated Amy Coney Barrett over the weekend to succeed the late Ruth Bader Ginsburg on the Court. You say the Constitution is clear about your obligation and the Senate’s to consider a nominee to the Court. Vice President Biden, you say that this is an effort by the President and Republicans to jam through on an appointment in what you call an abuse of power. My first question to both of you tonight, why are you right in the argument you make and your opponent wrong? And where do you think a Justice Barrett would take the court? President Trump, in this first segment, you go first. Two minutes."
President Donald J. Trump,2020-09-30 01:04:01,"Thank you very much, Chris. I will tell you very simply. We won the election. Elections have consequences. We have the Senate, we have the White House, and we have a phenomenal nominee respected by all. Top, top academic, good in every way. Good in every way. In fact, some of her biggest endorsers are very liberal people from Notre Dame and other places. So I think she’s going to be fantastic. We have plenty of time. Even if we did it after the election itself. I have a lot of time after the election, as you know. So I think that she will be outstanding. She’s going to be as good as anybody that has served on that court. We really feel that. We have a professor at Notre Dame, highly respected by all, said she’s the single greatest student he’s ever had. He’s been a professor for a long time at a great school."
President Donald J. Trump,2020-09-30 01:04:53,"And we won the election and therefore we have the right to choose her, and very few people knowingly would say otherwise. And by the way, the Democrats, they wouldn’t even think about not doing it. The only difference is they’d try and do it faster. There’s no way they would give it up. They had Merrick Garland, but the problem is they didn’t have the election so they were stopped. And probably that would happen in reverse, also. Definitely would happen in reverse. So we won the election and we have the right to do it, Chris."
Chris Wallace,2020-09-30 01:05:22,"President Trump, thank you. Same question to you, Vice President Biden. You have two minutes."
Vice President Joe Biden,2020-09-30 01:05:29,"Well, first of all, thank you for doing this and looking forward to this, Mr. President."
President Donald J. Trump,2020-09-30 01:05:34,"Thank you, Joe."
Vice President Joe Biden,2020-09-30 01:05:36,The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States. They’re not going to get that chance now because we’re in the middle of an election already. The election has already started. Tens of thousands of people already voted and so the thing that should happen is we should wait. We should wait and see what the outcome of this election is because that’s the only way the American people get to express their view is by who they elect as President and who they elect as Vice President.
Vice President Joe Biden,2020-09-30 01:06:12,"Now, what’s at stake here is the President’s made it clear, he wants to get rid of the Affordable Care Act. He’s been running on that, he ran on that and he’s been governing on that. He’s in the Supreme Court right now trying to get rid of the Affordable Care Act, which will strip 20 million people from having health insurance now, if it goes into court. And the justice, I’m not opposed to the justice, she seems like a very fine person. But she’s written, before she went in the bench, which is her right, that she thinks that the Affordable Care Act is not Constitutional. The other thing that’s on the court, and if it’s struck down, what happens? Women’s rights are fundamentally changed. Once again, a woman could pay more money because she has a pre-existing condition of pregnancy. They’re able to charge women more for the same exact procedure a man gets."
Vice President Joe Biden,2020-09-30 01:07:08,"And that ended when we, in fact, passed the Affordable Care Act, and there’s a hundred million people who have pre-existing conditions and they’ll be taken away as well. Those pre-existing conditions, insurance companies are going to love this. And so it’s just not appropriate to do this before this election. If he wins the election and the Senate is Republican, then he goes forward. If not, we should wait until February."
President Donald J. Trump,2020-09-30 01:07:34,"There aren’t a hundred million people with pre-existing conditions. As far as a say is concerned, the people already had their say. Okay, Justice Ginsburg said very powerfully, very strongly, at some point 10 years ago or so, she said a President and the Senate is elected for a period of time, but a President is elected for four years. We’re not elected for three years. I’m not elected for three years. So we have the Senate, we have a President-"
Vice President Joe Biden,2020-09-30 01:08:01,He’s elected to the next election.
President Donald J. Trump,2020-09-30 01:08:02,"During that period of time, during that period of time, we have an opening. I’m not elected for three years. I’m elected for four years. Joe, the hundred million people is totally wrong. I don’t know where you got that number. The bigger problem that you have is that you’re going to extinguish 180 million people with their private health care, that they’re very happy this."
Vice President Joe Biden,2020-09-30 01:08:24,That’s simply not true.
President Donald J. Trump,2020-09-30 01:08:25,"Well, you’re certainly going to socialist. You’re going to socialist medicine-"
Chris Wallace,2020-09-30 01:08:29,"Gentlemen, we’re now into open discussion."
Vice President Joe Biden,2020-09-30 01:08:31,Open discussion.
Chris Wallace,2020-09-30 01:08:32,"Open discussion, yes, I agree. Go ahead, Vice President."
Vice President Joe Biden,2020-09-30 01:08:33,"Number one, he knows what I proposed. What I proposed is that we expand Obamacare and we increase it. We do not wipe any. And one of the big debates we had with 23 of my colleagues trying to win the nomination that I won, were saying that Biden wanted to allow people to have private insurance still. They can. They do. They will under my proposal."
President Donald J. Trump,2020-09-30 01:08:58,That’s not what you’ve said and it’s not what your party is saying.
Vice President Joe Biden,2020-09-30 01:09:00,That is simply a lie.
President Donald J. Trump,2020-09-30 01:09:02,Your party doesn’t say it. Your party wants to go socialist medicine and socialist healthcare.
Vice President Joe Biden,2020-09-30 01:09:05,"The party is me. Right now, I am the Democratic Party."
President Donald J. Trump,2020-09-30 01:09:08,"And they’re going to dominate you, Joe. You know that."
Vice President Joe Biden,2020-09-30 01:09:09,I am the Democratic Party right now.
President Donald J. Trump,2020-09-30 01:09:11,Not according to Harris.
Vice President Joe Biden,2020-09-30 01:09:12,"The platform of the Democratic Party is what I, in fact, approved of, what I approved of. Now, here’s the deal. The deal is that it’s going to wipe out pre-existing conditions. And, by the way, the 20, the 200 mil- the 200,000 people that have died on his watch, how many of those have survived? Well, there’s seven million people that contracted COVID. What does it mean for them going forward if you strike down the Affordable Care Act?"
President Donald J. Trump,2020-09-30 01:09:39,"Joe, you’ve had 308,000 military people dying because you couldn’t provide them proper healthcare in the military. So don’t tell me about this."
Vice President Joe Biden,2020-09-30 01:09:47,I’m happy to talk about this.
President Donald J. Trump,2020-09-30 01:09:48,"And if you were here, it wouldn’t be 200, it would be two million people because you were very late on the draw. You didn’t want me to ban China, which was heavily infected. You didn’t want me to ban Europe."
Chris Wallace,2020-09-30 01:09:58,"All right, gentlemen, Mr. President."
President Donald J. Trump,2020-09-30 01:10:00,"You would have been much later, Joe, much later."
Chris Wallace,2020-09-30 01:10:04,Mr. President.
President Donald J. Trump,2020-09-30 01:10:04,We’re talking about two million people.
Vice President Joe Biden,2020-09-30 01:10:05,You’re not going to be able to shut him up.
Chris Wallace,2020-09-30 01:10:06,"Mr. President, as the moderator, we are going to talk about COVID in the next segment. But go ahead."
Vice President Joe Biden,2020-09-30 01:10:11,"Let me finish. The point is that the President also is opposed to Roe V. Wade. That’s on the ballot as well and the court, in the court, and so that’s also at stake right now. And so the election is all-"
President Donald J. Trump,2020-09-30 01:10:25,You don’t know what’s on the ballot. Why is it on the ballot? Why is it on the ballot? It’s not on the ballot.
Vice President Joe Biden,2020-09-30 01:10:31,It’s on the ballot in the court.
President Donald J. Trump,2020-09-30 01:10:32,I don’t think so.
Vice President Joe Biden,2020-09-30 01:10:33,In the court.
President Donald J. Trump,2020-09-30 01:10:34,There’s nothing happening there.
Vice President Joe Biden,2020-09-30 01:10:35,Donald would you just be quiet for a minute.
President Donald J. Trump,2020-09-30 01:10:36,You don’t know her view on Roe V. Wade? You don’t know here view.
Chris Wallace,2020-09-30 01:10:40,"Well, all right. All right. Let’s talk. We’ve got a lot to unpack here, gentlemen. We’ve got a lot of time. On healthcare, and then we’ll come back to Roe V. Wade."
Vice President Joe Biden,2020-09-30 01:10:51,All right.
Chris Wallace,2020-09-30 01:10:51,"Mr. President, the Supreme Court will hear a case a week after the election in which the Trump Administration, along with 18 state Attorney Generals are seeking to overturn Obamacare, to end Obamacare."
President Donald J. Trump,2020-09-30 01:11:05,That’s right.
Chris Wallace,2020-09-30 01:11:05,You have spent the last week-
President Donald J. Trump,2020-09-30 01:11:07,Because they want to give good healthcare.
Chris Wallace,2020-09-30 01:11:08,"If I may ask my question, sir."
Vice President Joe Biden,2020-09-30 01:11:11,Good healthcare.
Chris Wallace,2020-09-30 01:11:11,"Over the last four years, you have promised to repeal and replace Obamacare, but you have never in these four years come up with a plan, a comprehensive plan, to replace Obamacare."
President Donald J. Trump,2020-09-30 01:11:25,"Yes, I have. Of course, I have. The individual mandate."
Chris Wallace,2020-09-30 01:11:26,when I finish I’m going to give an opportunity-
President Donald J. Trump,2020-09-30 01:11:28,"Excuse me. I got rid of the individual mandate, which was a big chunk of Obamacare."
Chris Wallace,2020-09-30 01:11:31,That’s not a comprehensive place.
President Donald J. Trump,2020-09-30 01:11:32,That is absolutely a big thing. That was the worst part of Obamacare.
Chris Wallace,2020-09-30 01:11:35,"I didn’t ask, sir."
President Donald J. Trump,2020-09-30 01:11:36,"Chris, that was the worst part of Obamacare."
Chris Wallace,2020-09-30 01:11:38,You’re debating him not me. Let me ask my question.
President Donald J. Trump,2020-09-30 01:11:38,"Well, I’ll ask Joe. The individual mandate was the most unpopular aspect of Obamacare."
Chris Wallace,2020-09-30 01:11:44,Mr. President.
President Donald J. Trump,2020-09-30 01:11:44,I got rid of it. And we will protect people.
Chris Wallace,2020-09-30 01:11:46,"Mr. President, I’m the moderator of this debate and I would like you to let me ask my question and then you can answer."
President Donald J. Trump,2020-09-30 01:11:52,Go ahead.
Chris Wallace,2020-09-30 01:11:53,"You, in the course of these four years, have never come up with a comprehensive plan to replace Obamacare, and just this last Thursday you signed a largely symbolic Executive Order to protect people with pre-existing conditions five days before this debate. So my question, sir, is what is the Trump healthcare plan?"
President Donald J. Trump,2020-09-30 01:12:16,"Well, first of all, I guess I’m debating you, not him, but that’s okay. I’m not surprised. Let me just tell you something. There’s nothing symbolic. I’m cutting drug prices. I’m going with Favored Nations, which no President has the courage to do because you’re going against big pharma. Drug prices will be coming down 80 or 90%. You could have done it during your 47 year period in government, but you didn’t do it. Nobody’s done it. So we’re cutting healthcare."
Chris Wallace,2020-09-30 01:12:40,What about pre-existing conditions?
President Donald J. Trump,2020-09-30 01:12:40,All of the things that we’ve done.
Vice President Joe Biden,2020-09-30 01:12:41,He has not done healthcare.
President Donald J. Trump,2020-09-30 01:12:42,"I’ll give you an example. Insulin, it was destroying families, destroying people, the cost. I’m getting it for so cheap it’s like water, you want to know the truth. So cheap. Take a look at all of the drugs that what we’re doing. Prescription drug prices, we’re going to allow our Governors now to go to other countries to buy drugs because when they paid just a tiny fraction of what we do."
Chris Wallace,2020-09-30 01:13:03,"Okay, like I say, this is open discussion."
President Donald J. Trump,2020-09-30 01:13:04,This is big stuff.
Chris Wallace,2020-09-30 01:13:06,"Sir, you’ll be happy. I’m about to pick up on one of your points to ask the Vice President, which is, he points out that you would like to add a public option to Obamacare."
Vice President Joe Biden,2020-09-30 01:13:17,Yes.
Chris Wallace,2020-09-30 01:13:17,And the argument that he makes and other Republicans make is that that is going to end private insurance.
Vice President Joe Biden,2020-09-30 01:13:23,It is not.
Chris Wallace,2020-09-30 01:13:25,If I start asking the question.
President Donald J. Trump,2020-09-30 01:13:26,"That’s not what your party says, by the way."
Chris Wallace,2020-09-30 01:13:29,And it will end private insurance and create a government takeover of health.
Vice President Joe Biden,2020-09-30 01:13:32,"It does not. It’s only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid. Anyone who qualifies for Medicare, excuse me, Medicaid would automatically be enrolled in the public option. The vast majority of the American people would still not be in that option. Number one. Number two."
President Donald J. Trump,2020-09-30 01:13:57,"Joe, you agreed with Bernie Sanders, who’s far left, on the manifesto, we call it. And that gives you socialized medicine."
Vice President Joe Biden,2020-09-30 01:14:04,"Look, hey."
President Donald J. Trump,2020-09-30 01:14:05,Are you saying you didn’t agree?
Vice President Joe Biden,2020-09-30 01:14:06,I’m not going to listen to him. The fact of the matter is I beat Bernie Sanders.
President Donald J. Trump,2020-09-30 01:14:10,Not by much.
Vice President Joe Biden,2020-09-30 01:14:10,I beat him by a whole hell of a lot.
President Donald J. Trump,2020-09-30 01:14:12,Not by much.
Vice President Joe Biden,2020-09-30 01:14:12,"I’m here standing facing you, old buddy."
President Donald J. Trump,2020-09-30 01:14:14,If Pocahontas would have left two days early you would have lost every primary.
Vice President Joe Biden,2020-09-30 01:14:17,All he knows how to do-
President Donald J. Trump,2020-09-30 01:14:18,"On Super Tuesday, you got very lucky."
